Campaign,Revenue (£),CumRevenue,CumRevenue%
Digital Factory,4600,4600,5.3725765008175665
Green Transition,4500,9100,10.628357860313011
Smart Grid Focus,4400,13500,15.767344078486333
SF6-Free Push,4200,17700,20.672740014015417
Smart Switchgear,4000,21700,25.34454566690026
SF6 Replacement,3900,25600,29.899556178462976
End of Year Insights,3100,28700,33.520205559448726
Year-End Offer,3000,31700,37.02405979911236
AI Recap,2850,34550,40.3527213267928
Customer Success,2800,37350,43.62298528381219
Product Update,2700,40050,46.776454099509465
Product Launch,2700,42750,49.929922915206724
New Year Offer,2600,45350,52.96659658958187
AI Podcast Recap,2600,47950,56.00327026395702
Quarterly Insights,2500,50450,58.92314879701005
AI & Energy,2500,52950,61.84302733006307
Digital Future,2450,55400,64.70450829245503
AI Podcast Launch,2400,57800,67.50759168418594
AI Awareness Part 2,2350,60150,70.25227750525578
Brand Ambassador Series,2300,62450,72.93856575566457
Sustainability Series,2200,64650,75.50805886475122
Sustainability,2100,66750,77.96075683251577
Holiday Highlights,2000,68750,80.29665965895819
Smart Factory,1900,70650,82.51576734407848
Tech Leadership,1800,72450,84.61807988787666
AI Awareness,1800,74250,86.72039243167484
Future Tech,1750,76000,88.76430740481196
Behind the Scenes,1700,77700,90.74982480728802
Innovation Story,1600,79300,92.61854706844194
Wrap-up 2025,1150,80450,93.96169119364635
Sustainability Drive,1100,81550,95.24643774818968
Innovation Teaser,1070,82620,96.49614576033638
Tech for Good,1050,83670,97.72249474421864
Green Energy,1000,84670,98.89044615743985
Automation Week,950,85620,100.0
