Channel,Campaign,Spend (£),Revenue (£),Conversions,Leads,Clicks,Profit (£),ROI (%),ROAS,CPA (£)
Email,Product Launch,190,2700,32,120,610,2510,1321.0526315789475,14.210526315789474,5.9375
Email,New Year Offer,200,2600,28,130,630,2400,1200.0,13.0,7.142857142857143
Google Ads,Digital Factory,365,4600,53,170,980,4235,1160.2739726027398,12.602739726027398,6.886792452830188
Google Ads,SF6 Replacement,310,3900,45,150,890,3590,1158.0645161290322,12.580645161290322,6.888888888888889
Google Ads,Green Transition,360,4500,51,165,970,4140,1150.0,12.5,7.0588235294117645
Email,End of Year Insights,250,3100,32,130,680,2850,1140.0,12.4,7.8125
Google Ads,Smart Grid Focus,355,4400,49,162,950,4045,1139.4366197183099,12.394366197183098,7.244897959183674
Email,Product Update,220,2700,25,115,640,2480,1127.2727272727273,12.272727272727273,8.8
Email,Year-End Offer,245,3000,30,125,670,2755,1124.4897959183672,12.244897959183673,8.166666666666666
Email,Customer Success,230,2800,27,120,650,2570,1117.3913043478262,12.173913043478262,8.518518518518519
Google Ads,SF6-Free Push,350,4200,50,160,940,3850,1100.0,12.0,7.0
Email,Quarterly Insights,210,2500,22,110,590,2290,1090.4761904761906,11.904761904761905,9.545454545454545
Email,AI Recap,240,2850,26,122,660,2610,1087.5,11.875,9.23076923076923
Google Ads,Smart Switchgear,340,4000,46,155,920,3660,1076.4705882352941,11.764705882352942,7.391304347826087
LinkedIn,AI Podcast Launch,280,2400,20,100,600,2120,757.1428571428571,8.571428571428571,14.0
LinkedIn,AI Podcast Recap,305,2600,22,112,650,2295,752.4590163934425,8.524590163934427,13.863636363636363
LinkedIn,Brand Ambassador Series,270,2300,16,95,570,2030,751.8518518518518,8.518518518518519,16.875
X,Tech for Good,125,1050,8,55,300,925,740.0,8.4,15.625
LinkedIn,AI & Energy,300,2500,21,110,640,2200,733.3333333333333,8.333333333333334,14.285714285714286
X,Green Energy,120,1000,9,50,280,880,733.3333333333333,8.333333333333334,13.333333333333334
LinkedIn,Digital Future,295,2450,20,108,630,2155,730.5084745762712,8.305084745762711,14.75
X,Automation Week,115,950,7,48,260,835,726.0869565217391,8.26086956521739,16.428571428571427
X,Innovation Teaser,130,1070,9,58,310,940,723.0769230769231,8.23076923076923,14.444444444444445
X,Wrap-up 2025,140,1150,10,62,330,1010,721.4285714285714,8.214285714285714,14.0
X,Sustainability Drive,135,1100,9,60,320,965,714.8148148148148,8.148148148148149,15.0
LinkedIn,AI Awareness Part 2,290,2350,19,105,610,2060,710.344827586207,8.10344827586207,15.263157894736842
LinkedIn,Sustainability,260,2100,18,90,500,1840,707.6923076923076,8.076923076923077,14.444444444444445
LinkedIn,Sustainability Series,275,2200,18,95,560,1925,700.0,8.0,15.277777777777779
YouTube,Holiday Highlights,260,2000,14,90,500,1740,669.2307692307693,7.6923076923076925,18.571428571428573
YouTube,Smart Factory,255,1900,13,85,490,1645,645.0980392156863,7.450980392156863,19.615384615384617
YouTube,Future Tech,235,1750,11,78,490,1515,644.6808510638298,7.446808510638298,21.363636363636363
LinkedIn,AI Awareness,250,1800,14,85,480,1550,620.0,7.2,17.857142857142858
YouTube,Tech Leadership,250,1800,12,82,480,1550,620.0,7.2,20.833333333333332
YouTube,Innovation Story,230,1600,10,70,430,1370,595.6521739130435,6.956521739130435,23.0
YouTube,Behind the Scenes,245,1700,12,80,470,1455,593.8775510204082,6.938775510204081,20.416666666666668
